index,participant_id,identification,audience,shorthand,item_id,intimacy,self-disclosure,valence,age,gender,area,social_media_use,facebook,twitter,instagram,snapchat,secret,yik_yak,whisper
42,4,real_name,nearby,RN,1,-3,3,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
43,4,real_name,nearby,RN,13,-2,3,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
44,4,real_name,nearby,RN,6,-1,2,negative,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
45,4,real_name,nearby,RN,16,0,2,negative,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
46,4,real_name,nearby,RN,25,-1,3,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
47,4,real_name,nearby,RN,27,1,2,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
48,4,real_name,nearby,RN,2,-3,3,negative,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
49,4,real_name,nearby,RN,4,0,1,negative,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
50,4,real_name,nearby,RN,24,2,0,negative,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
51,4,real_name,nearby,RN,5,-2,3,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
52,4,real_name,nearby,RN,7,0,1,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
53,4,real_name,nearby,RN,12,2,0,negative,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
54,4,real_name,nearby,RN,23,1,0,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
55,4,real_name,nearby,RN,11,2,0,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
56,4,real_name,nearby,RN,33,1,1,positive,27,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
