index,participant_id,identification,audience,shorthand,item_id,intimacy,self-disclosure,valence,age,gender,area,social_media_use,facebook,twitter,instagram,snapchat,secret,yik_yak,whisper
41,1,anonymous,nearby,AN,18,-1,2,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
42,1,anonymous,nearby,AN,2,-2,3,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
43,1,anonymous,nearby,AN,14,0,3,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
44,1,anonymous,nearby,AN,7,0,2,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
45,1,anonymous,nearby,AN,17,-1,2,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
46,1,anonymous,nearby,AN,26,2,2,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
47,1,anonymous,nearby,AN,28,-1,1,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
48,1,anonymous,nearby,AN,3,0,1,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
49,1,anonymous,nearby,AN,5,1,1,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
50,1,anonymous,nearby,AN,25,2,0,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
51,1,anonymous,nearby,AN,6,0,2,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
52,1,anonymous,nearby,AN,8,0,1,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
53,1,anonymous,nearby,AN,13,2,1,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
54,1,anonymous,nearby,AN,24,-1,1,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
55,1,anonymous,nearby,AN,12,0,0,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
56,1,anonymous,nearby,AN,34,2,1,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
57,1,anonymous,nearby,AN,27,2,0,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
58,1,anonymous,nearby,AN,32,3,0,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
59,1,anonymous,nearby,AN,36,-3,2,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
60,1,anonymous,nearby,AN,35,1,1,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
61,1,anonymous,nearby,AN,10,-3,3,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
62,1,anonymous,nearby,AN,30,-1,1,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
63,1,anonymous,nearby,AN,11,0,1,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
64,1,anonymous,nearby,AN,4,0,3,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
65,1,anonymous,nearby,AN,37,1,1,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
66,1,anonymous,nearby,AN,31,1,0,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
67,1,anonymous,nearby,AN,22,-1,2,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
68,1,anonymous,nearby,AN,15,0,2,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
69,1,anonymous,nearby,AN,19,0,2,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
70,1,anonymous,nearby,AN,29,2,0,negative,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
71,1,anonymous,nearby,AN,16,-1,3,positive,20,Female,Urban,Frequently,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
72,2,real_name,social_ties,RS,21,3,0,negative,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,2,real_name,social_ties,RS,20,3,0,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,2,real_name,social_ties,RS,23,3,0,negative,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,2,real_name,social_ties,RS,33,3,0,negative,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,2,real_name,social_ties,RS,9,3,0,negative,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,2,real_name,social_ties,RS,18,3,0,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
78,2,real_name,social_ties,RS,2,0,2,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,2,real_name,social_ties,RS,14,3,2,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,2,real_name,social_ties,RS,7,0,2,negative,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
81,2,real_name,social_ties,RS,17,0,2,negative,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,2,real_name,social_ties,RS,26,0,2,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,2,real_name,social_ties,RS,28,0,2,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
84,2,real_name,social_ties,RS,3,0,2,negative,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,2,real_name,social_ties,RS,5,3,2,negative,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,2,real_name,social_ties,RS,25,3,0,negative,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
87,2,real_name,social_ties,RS,6,3,0,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,2,real_name,social_ties,RS,8,3,0,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,2,real_name,social_ties,RS,13,3,0,negative,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
90,2,real_name,social_ties,RS,24,1,0,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,2,real_name,social_ties,RS,12,3,0,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
92,2,real_name,social_ties,RS,34,3,0,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
93,2,real_name,social_ties,RS,27,3,0,negative,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
94,2,real_name,social_ties,RS,32,3,0,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,2,real_name,social_ties,RS,36,3,0,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
96,2,real_name,social_ties,RS,35,3,0,negative,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
97,2,real_name,social_ties,RS,10,1,2,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,2,real_name,social_ties,RS,30,3,2,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
99,2,real_name,social_ties,RS,11,3,0,negative,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100,2,real_name,social_ties,RS,4,0,2,positive,35,Female,Urban,Occasionally,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
